Serial Number,Author Name,Book Type,Brief Explanation,Book Name, Available(empty if yes)
69815155610,Laura Wilson,Fiction,An inspiring true story.,The Shadow's Edge,,
78077978804,Michael Clark,Fantasy,An inspiring true story.,Mind Over Matter,,
21535802060,Emma Taylor,Mystery,A fascinating mystery.,Mind Over Matter,,
16136095650,Emily Davis,Non-Fiction,A compelling narrative.,Silent Whispers,,
57410172985,Alice Johnson,Mystery,An inspiring true story.,The Shadow's Edge,241VP541,
00104001527,Robertson Clark,Biography,A fascinating mystery.,Mystic River,241MF371,
72388517340,Bella Johnson,Fantasy,A magical tale.,The Hidden Truth,,
97171225205,Edward Clark,Science,An inspiring true story.,The Hidden Truth,241GN228,
93424370832,Frank Clark,Fantasy,A psychological thriller.,Beyond the Horizon,241FS804,
59276508162,Anna Davis,Biography,A thought-provoking read.,Beyond the Horizon,,
29744821121,James Moore,Biography,A thought-provoking read.,The Hidden Truth,,
69634552991,John Williams,Fiction,A fascinating mystery.,Mystic River,241AS111,
07042652156,Allan Taylor,Self-Help,A deep dive into history.,The Lost World,,
80189419976,Chloe Johnson,Thriller,An inspiring true story.,The Lost World,,
83660684407,Lisa Wilson,Fantasy,A thrilling adventure.,Beyond the Horizon,241NC140,
41938513383,Bailey Moore,Fantasy,A psychological thriller.,Mystic River,,
67045510712,Arnold Moore,Philosophy,A fascinating mystery.,Mind Over Matter,241VK359,
63767207575,Sarah Brown,History,An inspiring true story.,The Lost World,241RU864,
16382808038,Lily Brown,Science,A thrilling adventure.,The Hidden Truth,,
52390527560,Mark Smith,Biography,A compelling narrative.,Mind Over Matter,241AG966,
94178676025,David Lee,Fantasy,A fascinating mystery.,The Shadow's Edge,241MS502,
26310835804,Katerina Brown,Thriller,A fascinating mystery.,Silent Whispers,241AP434,
54383881503,Carl Lee,Fiction,A thrilling adventure.,The Shadow's Edge,,
36504730197,Emily Johnson,Fiction,A magical tale.,The Lost World,241OO313,
37411159132,Stephanie Clark,History,A deep dive into history.,The Lost World,241ZQ241,